"a",1375733
"an",1316264
"bí",1126139
"i",975129
"ar",833010
"agus",819476
"is",716213
"ag",662833
"na",633422
"le",626474
"do",507114
"go",429485
"sé",286352
"de",283389
"sin",245706
"ó",234156
"é",207492
"seo",182931
"mar",178515
"ach",173941
"faoi",147709
"duine",129933
"nó",123200
"féin",108955
"mór",108005
"mé",102404
"ní",100655
"as",96639
"eile",93419
"aon",91466
"cur",90494
"chun",90200
"cuir",87538
"nach",84674
"cuid",83747
"maith",83484
"déan",81981
"tabhair",78418
"abair",77852
"bliain",77022
"sí",76876
"siad",74345
"nuair",71342
"bheith",68176
"ná",67229
"iad",66010
"déanamh",64813
"tar",62536
"mo",62077
"amach",61544
"cé",60365
"gach",60327
"ceann",57743
"tú",56103
"lá",54236
"rud",52103
"í",52021
"trí",51680
"gaeilge",50449
"féidir",50306
"gan",50251
"fáil",48116
"chomh",47868
"áit",44097
"dó",43754
"isteach",43368
"beag",42750
"fear",42698
"fad",42015
"éire",41593
"níos",40780
"bain",40421
"céad",40355
"dul",40256
"taobh",39832
"anois",39732
"tabhairt",39393
"amháin",39312
"gur",39020
"má",38712
"téigh",38567
"teach",38222
"céile",38200
"mac",38160
"faigh",37654
"idir",37521
"obair",37434
"chuig",35747
"ceart",35247
"caith",34486
"scéal",34124
"bith",33759
"go_dtí",33748
"am",33700
"roimh",32799
"saol",32627
"tír",31685
"ceist",30862
"ansin",30599
"bean",30329
"deireadh",29607
"féad",29503
"dá",29186
"baile",28676
"feic",28111
"pobal",27668
"fios",27235
"teacht",26932
"céanna",26618
"uair",25464
"aghaidh",25036
"scoil",25006
"arís",24625
"comhairle",24554
"tar_éis",24175
"súil",24076
"arsa",24017
"nua",23805
"baint",23416
"síos",23349
"rá",22585
"dóigh",22561
"áirithe",22457
"teanga",21603
"úsáid",21276
"anseo",21137
"thar",20813
"stát",20797
"oíche",20712
"fada",20615
"leith",20535
"cad",20506
"maidir_le",20503
"óg",20476
"seachtain",20222
"eolas",19661
"níor",19608
"clár",19195
"éirigh",19151
"lucht",18843
"leabhar",18768
"lean",18745
"caint",18744
"lámh",18312
"gaeltacht",18224
"aire",18205
"cás",18148
"siúl",18062
"riamh",17988
"méid",17953
"cúrsa",17865
"go_leor",17809
"páiste",17751
"bealach",17618
"cónaí",17602
"léir",17578
"tuig",17474
"freisin",17393
"barr",17363
"rialtas",17353
"iarraidh",17192
"muintir",17099
"ábhar",17051
"de_réir",17021
"mí",16973
"uile",16845
"tarlaigh",16807
"airgead",16684
"feidhm",16494
"fág",16385
"fós",16268
"dia",16146
"ea",16136
"diaidh",16073
"suas",16067
"ainm",16056
"tús",15912
"muid",15887
"contae",15623
"éigin",15617
"beirt",15579
"scríobh",15517
"fiú",15498
"foireann",15399
"talamh",15209
"athair",15181
"roinn",15138
"bord",15110
"focal",15096
"glac",15055
"seán",15048
"thart",15039
"seirbhís",14988
"bás",14968
"ceol",14762
"ár",14720
"tóg",14516
"roinnt",14372
"ceantar",14366
"cluiche",14280
"déanta",14153
"measc",13881
"ard",13831
"anuas",13675
"minic",13638
"dar",13630
"bóthar",13567
"cóir",13554
"gá",13456
"te",13304
"ceap",13277
"uisce",13267
"caitheamh",13170
"of",13164
"meas",13154
"alt",13061
"nár",13012
"baile_átha_cliath",12915
"leithéid",12868
"cathair",12841
"iomlán",12720
"údarás",12558
"the",12550
"forbairt",12452
"cuma",12437
"ionad",12395
"ann",12393
"díreach",12354
"cúpla",12313
"tosaigh",12305
"aois",12204
"oileán",12129
"oiread",12102
"féach",12039
"imeacht",11876
"clois",11857
"geall",11785
"ball",11744
"bun",11713
"cineál",11659
"cinnte",11657
"ar_ais",11623
"oideachas",11527
"siar",11508
"béal",11388
"sampla",11314
"timpeall",11273
"uí",11256
"náisiúnta",11131
"athrú",11111
"máthair",11100
"cuireadh",11094
"i_ndiaidh",11053
"éagsúil",10946
"córas",10934
"istigh",10930
"acht",10880
"airteagal",10859
"doras",10769
"mórán",10769
"siúd",10702
"croí",10630
"post",10630
"rith",10373
"inniu",10332
"dara",10316
"ar_feadh",10300
"conradh",10273
"amuigh",10248
"ceathair",10175
"caite",10144
"cos",10130
"buail",10114
"breá",10039
"saothar",10006
"áitiúil",9980
"eoraip",9897
"oifig",9884
"breis",9841
"ealaín",9834
"béarla",9821
"cúis",9810
"cúirt",9677
"uimhir",9653
"sásta",9616
"gaillimh",9569
"meán",9551
"tuairim",9551
"eorpach",9543
"maidin",9540
"tréimhse",9536
"toradh",9458
"dán",9432
"sula",9410
"dé",9399
"fíor",9361
"le_linn",9357
"glacadh",9345
"tamall",9263
"láthair",9262
"coláiste",9167
"áfach",9147
"aimsir",9147
"múinteoir",9118
"caoi",9072
"beir",9070
"deis",9046
"mura",9034
"éirí",9025
"léirigh",9022
"feiceáil",9010
"linn",8991
"cúig",8948
"míle",8942
"críoch",8935
"domhan",8913
"iarracht",8893
"tosach",8882
"grúpa",8833
"gnó",8811
"comhlacht",8794
"cara",8789
"dein",8780
"fan",8780
"dlí",8753
"líon",8723
"seomra",8716
"ar_fud",8714
"pádraig",8712
"síl",8696
"imigh",8659
"iarratas",8657
"cosúil",8648
"fáth",8620
"in_aghaidh",8582
"poiblí",8581
"fadhb",8548
"curtha",8495
"déag",8494
"creid",8472
"cá",8440
"in_ann",8436
"treo",8429
"coiste",8398
"slí",8361
"láidir",8265
"sagart",8241
"seans",8226
"fómhar",8205
"dáil",8187
